id,created_at,name,dose
40,2024-05-13 07:55:42.60964+00,ব্রাভো ৫০ এস পি (কারটাপ),১৫-২০ গ্রাম / ১০ লিটারপানিতে
41,2024-05-13 07:56:47.940137+00,ফরচুনেট ৭৫ এস পি ( এসিফেট)," ১৫- ১৬ গ্রাম/ ১০ লিটার পানিতে"
42,2024-05-13 08:00:05.040953+00,পাইক্লোরেক্স ২০ ইসি ( ক্লোরপাইরিফস),"আলু কাটুই পোকা= ৪০ মিলি/ ১০ লিটার পানি
 ধান -মাজরা পামরী বাদামী গাছ ফডিং গান্ধি পোকা= ২০ মিলি / ১০ লিটার পানি"
43,2024-05-13 17:18:08.40467+00,ভিরতাকো ৪০ ডব্লিউজি  ( থায়ামেথোক্সাম + ক্লোরানট্রনিলিপ্রোল)," বিছা পোকা= ১০০ গ্রাম/হেক্টর
মাজরা পাতা মোড়ানো ৩০ গ্রাম/ একর"
44,2024-05-13 17:20:00.307327+00,ভলিয়াম ফ্লেক্সি ৩০০ এস সি," ০.৫- ১ এম এল/ লিঠার পানি"
45,2024-05-13 17:23:49.226119+00,ভারটিমেক ১৮ ইসি (এবামেকটিন),২িএমএল/ লিটার পানি
46,2024-05-13 17:25:40.835756+00,"পেগাসাস  (ডাইফেনথিউরান) ",১ এম এল/ লিটার পানি
47,2024-05-13 17:29:20.493982+00," আলিকা ২৪.৭ জেড সি (ল্যামডাসাইহ্যালোথ্রিন+ থায়ামেথোক্সাম)",টমোটো ( লিফ মাইনার)=০.৫- ১ এম এল/ লিটার পানি
48,2024-05-13 17:32:13.677018+00,ফরতেনজা ৬০ এফ এস  (ছায়ান্ট্রারনলিপ্রোল,"ভুট্টা ফল আর্মি ওয়ার্ম= ২.৫ এম এল/ লিটার "
49,2024-05-14 03:04:27.365822+00,আগাছা রিফিট ৫০০ ইসি (প্রেট্রিলাক্লোর),ধান = ৪০০ এম এল / একর
50,2024-05-14 03:06:04.912591+00," আগাছা/লগরান",৪ গ্রাম/ একর
51,2024-05-14 03:07:42.520171+00,গ্রামোক্সোন ২০ এস এল ( প্যারেোকোয়াট),৩-৪ এমএল/ লিটার
52,2024-05-14 03:09:31.919443+00,আগাছা/ ফুসিলেড ম্যাক্স ( ফ্লুয়াজিফস - পি- বিউটাউল),পাটের জন্য= ১ লিটার/ হেকবটর
53,2024-05-14 03:17:22.219657+00,মাইনেকটো এক্সট্রা (ছায়ান্ট্রানিলিপ্রোল+লুফেরিউরন),ধান মাজরা= ৫০ এমএল/ হেক্টর
54,2024-05-14 03:21:02.179806+00,সবিক্রন ৪২৫ ইসি  (প্রোফেনোফোস+সাইপারমেথ্রিন),"বিটল/ সাদামাছি/হপার/জ্যাসিড/বিছাপোকা
২ এম এল/লিটার"
55,2024-05-14 03:24:30.86939+00,একতারা ২৫ ডব্লিউজি," জাব পোকা/ এফিড/হপার/ বিটল/উইপোকা
১ এম এল/ লিটার "
56,2024-05-19 06:58:44.746075+00,ইমাকটো ( এমামেকটিন বেনজয়েট),২০০ গ্রাম / একর
57,2024-05-20 13:55:22.282025+00,রাইকার ৫০ এস পি ( কারটাপ),১৫ গ্রাম/ ১০ লিটার পানি
58,2024-05-20 13:58:01.159473+00,চেজ ৮০ ডব্লিউ ডিজি ( পাইমেট্রোজিন+ নিটেন পাইরাম),১০ গ্রাম/ ১০ লিটার পানি
59,2024-05-21 02:21:39.034532+00,আগাছা/ জাবা ( মেসোট্রিয়ন + এন্টরাজিন),"ভুট্টার আগাছা গজালে / ৩ - ৪ পাতা হলে
৬০০ মিলি / একর"
60,2024-05-21 02:23:10.996484+00,আগাছা= সুয়া,"পাট= ১. ৩ মিলি/ ১.  ৫ মিলি 
"
61,2024-05-21 02:26:39.05119+00,"আগাছা = তুবা ","আলু/ পেয়াজ = আলু একরে ১৫০ গ্রাম
পেঁয়াজ  ৩০০ গ্রাম 
ফসল লাগানোর 10 থেকে 12 দিন পর স্প্রে করতে হবে।  স্পেরে পর শেষ দেওয়া যাবে না। "
62,2024-05-26 16:29:24.499241+00,সেম কাপ  ৫০ ইসি ( ফেনথয়েট),৭০০ মিলি/ একর
63,2024-05-26 16:31:59.497759+00,ডায়মেথোয়েট ৪০ ইসি,"২০ মিলি / ১০ লিটারের "
64,2024-05-26 16:34:20.514349+00,"এডভানটেজ ২০ এস সি ( কার্বসালফান) ",মাজরা জাব পোকা পামরি পোকা থ্রিপস
65,2024-05-27 06:58:39.467887+00,তাজরী ( কারটাপ ৫০%),৩ গ্রাম/ / লিটার পানি
66,2024-05-27 07:00:59.769026+00,জহর ( ফিপ্রোনিল ০.৩ %),"মাজরা পোকার ক্ষেত্রে ৪ কেজিি/একর
উইপোকার ক্ষেক্রে ১৩ কেজি/একর"
67,2024-05-27 07:02:48.859198+00,সাওতা ( এলুমিনিয়াম ফসফাইড ৫৭%),"গুদাম জাত শস্য ক্ষেত্রে 
টন / ৪ টি ট্যাবলেট"
68,2024-05-27 07:22:12.496327+00,দামদামা(প্রোপেনোফস সাইপারমেথ্রিন),২ মিলি/ লিটার পানি
69,2024-05-27 07:23:56.467094+00,হারবা  (স্পিনোসেড),"কান্ড ও ফল ছিন্দ্রকারী পোকা
 ০.৫ মিলি/ লিটার পানি"
70,2024-05-27 07:26:44.379463+00,জাজা = (ইন্ডোকার্ব ১৪.৫ %),"হলুদ মাজরা পোকা 
কপির ডায়মন্ড ব্যাক
লুপার মথ
১ মিলি/ লিটার পানি"
71,2024-05-27 07:28:11.803689+00,বাতির ( কারটাপ+ অ্যাসিটামিপ্রিড),৫০ গ্রাম/ বিঘা
72,2024-05-27 07:29:35.503144+00," বুরূজ  (ইথিয়ন থায়ামেথোক্সাম)","শোষক পোকা
২০ গ্রাম/ বিঘা"
73,2024-05-27 07:31:29.409298+00,লামাহ ( আইসোপ্রোকার্ব+ বুফ্রোফোজিন),"শোষক পোকা ও পাটের হলু মাকড়
২০০ গ্রাম/ একর"
74,2024-05-27 07:33:48.394352+00,হিমাম ( এমামেকটিন বেনজয়েট+ লুফেরিউরন),"ডগা ও ফল ছিন্দ্রকারী পোকা এবং শোষক পোকা
০.৫ গ্রাম / লিটার পানি"
75,2024-05-27 07:43:23.071173+00,"সাবা  (পাইমেট্রোজিন + নেটেনপাইরাম) "," একর প্রতি ১০০ গ্রাম"
76,2024-05-27 08:03:01.946901+00,আকিল ( ক্লোরফেনাপায়ার+ এমাবেকটিন বেনজয়েট),০.৫ গ্রাম/ লিটার পানি
